Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Manuel Akanji,Manchester City,7.31,2513,30,0.07,0.2,77.1,1.0,0.8,0.4,0.0,2.0,1.0,0.0,0.0,0.0,manuel akanji,manchester city,DF,0.0072703252993145
Manuel Akanji,Manchester City,7.31,2513,30,0.07,0.2,77.1,1.0,0.8,0.4,0.0,2.0,1.0,0.0,0.0,0.0,manuel akanji,manchester city,MF,0.0016954215736951
Luis Diaz,Liverpool,7.31,2646,37,0.27,1.1,29.6,0.9,0.1,0.0,0.0,3.0,0.0,0.0,0.1700680272108843,0.1700680272108843,luis diaz,liverpool,FW,0.0227552112316138
Kai Havertz,Arsenal,7.3,2639,37,0.44,1.0,25.8,0.5,0.7,0.0,0.0,11.0,0.0,0.0,0.2387267904509283,0.2728306176582039,kai havertz,arsenal,MF,0.0052301959661878
Kai Havertz,Arsenal,7.3,2639,37,0.44,1.0,25.8,0.5,0.7,0.0,0.0,11.0,0.0,0.0,0.2387267904509283,0.2728306176582039,kai havertz,arsenal,FW,0.0164692105299316
Dominik Szoboszlai,Liverpool,7.28,2109,33,0.13,0.6,52.1,0.8,0.6,0.1,0.0,1.0,0.0,0.0,0.0853485064011379,0.2987197724039829,dominik szoboszlai,liverpool,MF,0.0111369271257694
Douglas Luiz,Aston Villa,7.28,3001,35,0.27,0.5,52.9,1.1,0.7,0.2,0.0,12.0,0.0,0.0,0.1499500166611129,0.2999000333222259,douglas luiz,aston villa,MF,0.013555141660437
Nathan Aké,Manchester City,7.27,2044,29,0.09,0.2,72.3,0.7,0.6,0.1,0.0,0.0,0.0,0.0,0.0880626223091976,0.1320939334637964,nathan ake,manchester city,DF,0.0050003955534651
William Saliba,Arsenal,7.27,3420,38,0.05,0.1,69.2,0.7,0.8,0.4,0.0,4.0,0.0,1.0,0.0263157894736842,0.0,william saliba,arsenal,DF,0.0083927330414008
Christian Nørgaard,Brentford,7.26,2513,31,0.07,0.3,41.9,1.8,1.9,0.2,0.0,8.0,0.0,0.0,0.0358137684042976,0.2148826104257859,christian norgaard,brentford,MF,0.0081757489379104
Diogo Jota,Liverpool,7.25,1150,21,0.78,1.6,22.4,1.0,0.5,0.1,0.0,1.0,1.0,0.0,0.2347826086956522,0.3130434782608696,diogo jota,liverpool,FW,0.0099572146221313
Morgan Gibbs-White,Nottingham Forest,7.24,3160,37,0.14,0.4,28.1,0.7,0.5,0.2,0.0,9.0,0.0,0.0,0.2848101265822785,0.4556962025316455,morgan gibbs-white,nottingham forest,MF,0.0086261840058625
Morgan Gibbs-White,Nottingham Forest,7.24,3160,37,0.14,0.4,28.1,0.7,0.5,0.2,0.0,9.0,0.0,0.0,0.2848101265822785,0.4556962025316455,morgan gibbs-white,nottingham forest,FW,0.0071663156734255
Bryan Mbeumo,Brentford,7.23,1959,25,0.41,0.9,21.6,0.5,0.3,0.1,0.0,2.0,0.0,0.0,0.2756508422664624,0.2756508422664624,bryan mbeumo,brentford,MF,0.0005229204385524
Bryan Mbeumo,Brentford,7.23,1959,25,0.41,0.9,21.6,0.5,0.3,0.1,0.0,2.0,0.0,0.0,0.2756508422664624,0.2756508422664624,bryan mbeumo,brentford,FW,0.0139269920371192
Oleksandr Zinchenko,Arsenal,7.22,1722,27,0.05,0.2,65.9,1.6,1.0,0.2,0.0,2.0,0.0,0.0,0.1045296167247386,0.2613240418118467,oleksandr zinchenko,arsenal,DF,0.0064021280813636
Diogo Dalot,Manchester United,7.2,3173,36,0.06,0.2,35.5,1.4,1.0,0.5,0.0,4.0,1.0,1.0,0.0850929719508351,0.1418216199180586,diogo dalot,manchester united,DF,0.011412935371891
Marcos Senesi,Bournemouth,7.2,2247,31,0.16,0.2,39.6,1.3,1.4,0.9,0.0,13.0,0.0,0.0,0.2002670226969292,0.0801068090787717,marcos senesi,bournemouth,DF,0.0094006092529319
John McGinn,Aston Villa,7.19,3009,35,0.18,0.5,28.3,1.0,0.6,0.1,0.0,9.0,1.0,0.0,0.1196410767696909,0.2991026919242273,john mcginn,aston villa,MF,0.0088150251928875
John McGinn,Aston Villa,7.19,3009,35,0.18,0.5,28.3,1.0,0.6,0.1,0.0,9.0,1.0,0.0,0.1196410767696909,0.2991026919242273,john mcginn,aston villa,FW,0.0033199425414335
Harry Maguire,Manchester United,7.18,1650,22,0.11,0.2,49.9,0.9,1.4,1.3,0.0,4.0,0.0,0.0,0.109090909090909,0.109090909090909,harry maguire,manchester united,DF,0.0059829006990551
Nicolas Jackson,Chelsea,7.18,2804,35,0.45,1.3,16.5,0.4,0.1,0.2,0.0,10.0,0.0,0.0,0.1604850213980028,0.2567760342368045,nicolas jackson,chelsea,MF,0.0011023884382051
Nicolas Jackson,Chelsea,7.18,2804,35,0.45,1.3,16.5,0.4,0.1,0.2,0.0,10.0,0.0,0.0,0.1604850213980028,0.2567760342368045,nicolas jackson,chelsea,FW,0.0165442703097837
Antonee Robinson,Fulham,7.17,3270,37,0.0,0.2,34.0,1.6,2.2,0.2,0.0,6.0,0.0,0.0,0.1651376146788991,0.1651376146788991,antonee robinson,fulham,DF,0.0184869904592875
Ibrahima Konaté,Liverpool,7.16,1571,22,0.0,0.1,73.0,1.3,1.1,0.7,0.0,3.0,1.0,0.0,0.0,0.057288351368555,ibrahima konate,liverpool,DF,0.0052434726146592
Casemiro,Manchester United,7.16,1985,25,0.05,0.4,52.7,2.5,0.8,1.5,0.0,7.0,0.0,1.0,0.0906801007556675,0.0906801007556675,casemiro,manchester united,DF,0.0031795049704392
Casemiro,Manchester United,7.16,1985,25,0.05,0.4,52.7,2.5,0.8,1.5,0.0,7.0,0.0,1.0,0.0906801007556675,0.0906801007556675,casemiro,manchester united,MF,0.0047503513188821
Dwight McNeil,Everton,7.16,2897,35,0.09,0.5,24.4,0.8,0.7,0.2,0.0,2.0,0.0,0.0,0.1863997238522609,0.5281325509147394,dwight mcneil,everton,DF,0.0011034182519643
Dwight McNeil,Everton,7.16,2897,35,0.09,0.5,24.4,0.8,0.7,0.2,0.0,2.0,0.0,0.0,0.1863997238522609,0.5281325509147394,dwight mcneil,everton,MF,0.008916588425393
Dwight McNeil,Everton,7.16,2897,35,0.09,0.5,24.4,0.8,0.7,0.2,0.0,2.0,0.0,0.0,0.1863997238522609,0.5281325509147394,dwight mcneil,everton,FW,0.0007772020725388
Darwin Nunez,Liverpool,7.16,2046,36,0.48,2.0,14.6,0.5,0.1,0.3,0.0,9.0,0.0,0.0,0.3519061583577713,0.4838709677419355,darwin nunez,liverpool,FW,0.0181357904802078
Jefferson Lerma,Crystal Palace,7.15,2403,28,0.04,0.3,37.8,0.9,1.3,0.4,0.0,8.0,0.0,0.0,0.0374531835205992,0.1123595505617977,jefferson lerma,crystal palace,DF,0.0020969380112457
Jefferson Lerma,Crystal Palace,7.15,2403,28,0.04,0.3,37.8,0.9,1.3,0.4,0.0,8.0,0.0,0.0,0.0374531835205992,0.1123595505617977,jefferson lerma,crystal palace,MF,0.0070052203059739
Joao Palhinha,Fulham,7.15,2709,33,0.13,0.5,36.4,2.5,1.5,0.3,0.0,13.0,0.0,1.0,0.0332225913621262,0.0332225913621262,joao palhinha,fulham,MF,0.0068011621608145
James Garner,Everton,7.15,3005,37,0.03,0.3,27.6,1.3,1.3,0.4,0.0,7.0,0.0,0.0,0.059900166389351,0.2096505823627287,james garner,everton,MF,0.0077526335541279
