Player,Score,Category,team
Axel Tuanzebe,0.0007741381333840451,DF,Manchester United
Tom Edwards,0.0018729979028365969,DF,Stoke City
Scott Dann,0.0048460088127657355,DF,Crystal Palace
Chancel Mbemba,0.0027536459751772565,DF,Newcastle
Matt Targett,0.0013980010152161726,DF,Southampton
Jack Simpson,0.0008763252372805366,DF,Bournemouth
Pablo Zabaleta,0.003360371721938778,DF,West Ham
Emre Can,0.0012928114968061826,DF,Liverpool
Georginio Wijnaldum,0.001208107837407286,DF,Liverpool
Martin Cranie,0.0011703166339402254,DF,Huddersfield
Francis Coquelin,0.0009770967224744678,DF,Arsenal
Cheikhou Kouyaté,0.0015025872591098682,DF,West Ham
Sam Clucas,0.0008964164591088513,DF,Swansea
José Fonte,0.0032612847444168265,DF,West Ham
Uwe Hünemeier,0.0007904532388524457,DF,Brighton
Jesús Gámez,0.0010457925508246682,DF,Newcastle
Liam Rosenior,0.0011924976808737441,DF,Brighton
Younès Kaboul,0.001247110708507325,DF,Watford
Chris Brunt,0.0012562930638879044,DF,West Brom
Aaron Lennon,0.00288222744769295,MF,Burnley
Jack Cork,0.007346687217453227,MF,Burnley
Ashley Westwood,0.0030793349694610457,MF,Burnley
Jóhann Guðmundsson,0.01037423717091331,MF,Burnley
Ryan Fraser,0.00516351663399137,MF,Bournemouth
Emerson Hyndman,0.0006164565478888317,MF,Bournemouth
Andrew Surman,0.006569717204400955,MF,Bournemouth
Charlie Daniels,0.0029913792118622575,MF,Bournemouth
Dan Gosling,0.004246960543110589,MF,Bournemouth
James McArthur,0.005942694480502458,MF,Crystal Palace
Yohan Cabaye,0.008930610209911555,MF,Crystal Palace
Luka Milivojević,0.007826051292035154,MF,Crystal Palace
Ruben Loftus-Cheek,0.005713706555212519,MF,Crystal Palace
Chung-yong Lee,0.0006082429263953812,MF,Crystal Palace
Jay Rodriguez,0.0009033275804979829,MF,West Brom
Jake Livermore,0.005793562109604622,MF,West Brom
Chris Brunt,0.005523580816489994,MF,West Brom
James McClean,0.0019797688292756974,MF,West Brom
Nacer Chadli,0.0005433612574851628,MF,West Brom
Aaron Mooy,0.011128796044101923,MF,Huddersfield
Jonathan Hogg,0.006159853452121378,MF,Huddersfield
Thomas Ince,0.0038973518269517634,MF,Huddersfield
Dean Whitehead,0.000601491576601973,MF,Huddersfield
Philip Billing,0.001403642363823612,MF,Huddersfield
Alex Iwobi,0.003957868323759689,MF,Arsenal
Granit Xhaka,0.016067657629622527,MF,Arsenal
Aaron Ramsey,0.009604198662360033,MF,Arsenal
Ainsley Maitland-Niles,0.0015268596476886948,MF,Arsenal
Mohamed Salah,0.002155610816381906,MF,Liverpool
Jordan Henderson,0.012295056452905708,MF,Liverpool
Georginio Wijnaldum,0.00866166727345618,MF,Liverpool
Sadio Mané,0.0037607713841509094,MF,Liverpool
Ben Woodburn,0.0005264843656994051,MF,Liverpool
Adam Lallana,0.001000962255859967,MF,Liverpool
Dale Stephens,0.007941974514038053,MF,Brighton
Davy Pröpper,0.007869822043292556,MF,Brighton
Anthony Knockaert,0.00560110743251513,MF,Brighton
Beram Kayal,0.0017222864543640312,MF,Brighton
Solly March,0.0031012452427745638,MF,Brighton
Pascal Groß,0.0027312850684948395,MF,Brighton
Scott McTominay,0.0023753946867547332,MF,Manchester United
Michael Carrick,0.001487432832994508,MF,Manchester United
Daley Blind,0.001175666221347122,MF,Manchester United
Ander Herrera,0.005285340661721267,MF,Manchester United
Paul Pogba,0.009797392645459979,MF,Manchester United
Abdoulaye Doucouré,0.012987225088483996,MF,Watford
Gerard Deulofeu,0.0008109728826973145,MF,Watford
Will Hughes,0.0029144856964231024,MF,Watford
Roberto Pereyra,0.0037365846710716816,MF,Watford
Richarlison,0.002785176031412809,MF,Watford
Nathaniel Chalobah,0.0011574889938125096,MF,Watford
Jonjo Shelvey,0.007850317645413099,MF,Newcastle
Mohamed Diamé,0.003970176117066857,MF,Newcastle
Matt Ritchie,0.007267335055321042,MF,Newcastle
Ayoze Pérez,0.0029214975564147943,MF,Newcastle
Jacob Murphy,0.0016895220503425953,MF,Newcastle
Isaac Hayden,0.0020243426614943395,MF,Newcastle
Victor Moses,0.006737655439886951,MF,Chelsea
Ross Barkley,0.0006277753424773408,MF,Chelsea
N'Golo Kanté,0.014195122102978967,MF,Chelsea
Tiemoué Bakayoko,0.006854024365838109,MF,Chelsea
Emerson Palmieri,0.0012274542242945697,MF,Chelsea
Willian,0.0008207815336665518,MF,Chelsea
Dušan Tadić,0.007338632730362464,MF,Southampton
Pierre-Emile Højbjerg,0.004867596577630966,MF,Southampton
Oriol Romeu,0.0075786462132469735,MF,Southampton
Nathan Redmond,0.005968202081332881,MF,Southampton
James Ward-Prowse,0.004921062367500986,MF,Southampton
Kevin De Bruyne,0.027613936956167557,MF,Manchester City
Fernandinho,0.017813139403954615,MF,Manchester City
İlkay Gündoğan,0.008758022232184342,MF,Manchester City
Phil Foden,0.0006385378430706513,MF,Manchester City
Brahim Díaz,0.0005436238423163361,MF,Manchester City
Nathan Dyer,0.001583971127062442,MF,Swansea
Andy King,0.0026615072380318187,MF,Swansea
Tom Carroll,0.010100474208733005,MF,Swansea
Wayne Routledge,0.0011807993516684107,MF,Swansea
Leon Britton,0.0007353844453641076,MF,Swansea
Sam Clucas,0.004188518133679556,MF,Swansea
Joe Allen,0.008820914337713245,MF,Stoke City
Lasse Sorensen,0.0010660767358032569,MF,Stoke City
Badou Ndiaye,0.0021614030343149026,MF,Stoke City
Darren Fletcher,0.00581367882516845,MF,Stoke City
Stephen Ireland,0.0005986116955122101,MF,Stoke City
Moussa Sissoko,0.0055577571006946444,MF,Tottenham
Victor Wanyama,0.0031131566385306686,MF,Tottenham
Érik Lamela,0.0020276883480490723,MF,Tottenham
Christian Eriksen,0.021990164594278615,MF,Tottenham
Lucas Moura,0.0013080637882863146,MF,Tottenham
Dele Alli,0.010826980846481423,MF,Tottenham
Adrien Silva,0.0019423161840706432,MF,Leicester
Vicente Iborra,0.0042764536893417785,MF,Leicester
Riyad Mahrez,0.010979694107526791,MF,Leicester
Kelechi Iheanacho,0.0006220127821579994,MF,Leicester
Demarai Gray,0.0031892747883743716,MF,Leicester
Hamza Choudhury,0.0013219416146243875,MF,Leicester
Pablo Zabaleta,0.004200114903792699,MF,West Ham
Cheikhou Kouyaté,0.0046058053470169275,MF,West Ham
Mark Noble,0.006591795610804643,MF,West Ham
Arthur Masuaku,0.0031136954540103966,MF,West Ham
Pedro Obiang,0.0029769986002496094,MF,West Ham
Morgan Schneiderlin,0.004596693574278315,MF,Everton
Séamus Coleman,0.0005767374116275325,MF,Everton
Tom Davies,0.0029936551154067367,MF,Everton
Idrissa Gueye,0.006918915384386184,MF,Everton
Leighton Baines,0.0017136882178385292,MF,Everton
Davy Klaassen,0.0006811029710434541,MF,Everton
Ashley Young,0.0012050058465834811,MF,Manchester United
Yaya Touré,0.0023319385005281137,MF,Manchester City
José Izquierdo,0.003373064162583296,MF,Brighton
Heung-Min Son,0.007600775698725719,MF,Tottenham
Kenedy,0.003176366542847474,MF,Newcastle
Fousseni Diabaté,0.0011950784866011236,MF,Leicester
Davide Zappacosta,0.003128245704787885,MF,Chelsea
Cesc Fàbregas,0.015708882344580337,MF,Chelsea
Marcos Alonso,0.00974980645845041,MF,Chelsea
Eden Hazard,0.0008015881482603322,MF,Chelsea
Florent Hadergjonaj,0.0013711044139182273,MF,Huddersfield
Alex Pritchard,0.0020330426912724396,MF,Huddersfield
Connor Roberts,0.0010144418711727794,MF,Swansea
Sung-Yueng Ki,0.005987574223893492,MF,Swansea
Martin Olsson,0.0017003964962788722,MF,Swansea
Luciano Narsingh,0.0010377658718282987,MF,Swansea
Cédric Soares,0.0019037322843650636,MF,Southampton
Ryan Bertrand,0.002028980844790577,MF,Southampton
Jack Wilshere,0.004567051700572217,MF,Arsenal
Georges-Kévin N'Koudou,0.0006715592366284158,MF,Burnley
Trent Alexander-Arnold,0.0015181351226749179,MF,Liverpool
James Milner,0.010002086667635392,MF,Liverpool
David Silva,0.02168969259780469,MF,Manchester City
Bernardo Silva,0.0012024059383410866,MF,Manchester City
Rajiv Van La Parra,0.002983792695107832,MF,Huddersfield
Yannick Bolasie,0.0008492006921139945,MF,Everton
Nikola Vlašić,0.0019439713147197523,MF,Everton
Lewis Cook,0.006492866312306064,MF,Bournemouth
Étienne Capoue,0.004416489557961187,MF,Watford
Mikel Merino,0.0038262646019063913,MF,Newcastle
Matt Phillips,0.003873092729868547,MF,West Brom
Grzegorz Krychowiak,0.004989626035977941,MF,West Brom
Kieran Trippier,0.005450177907621342,MF,Tottenham
Danny Rose,0.0014740284679339297,MF,Tottenham
Xherdan Shaqiri,0.00345906304106635,MF,Stoke City
Moritz Bauer,0.0013839868446051734,MF,Stoke City
Ramadan Sobhi,0.0016858453284318788,MF,Stoke City
Marouane Fellaini,0.0017227558773670682,MF,Manchester United
Nemanja Matić,0.012266394139317138,MF,Manchester United
Jesse Lingard,0.0036028585696830343,MF,Manchester United
Eric Dier,0.009565325553169954,MF,Tottenham
Mousa Dembélé,0.007483034637125399,MF,Tottenham
Kiko Femenia,0.003304757297916677,MF,Watford
Henrikh Mkhitaryan,0.006522508775491505,MF,Arsenal
Reiss Nelson,0.0007829083413262146,MF,Arsenal
Joseph Willock,0.0005974833951288168,MF,Arsenal
Edimilson Fernandes,0.0012699881311786067,MF,West Ham
Aaron Cresswell,0.002101168031826239,MF,West Ham
João Mário,0.0005419369275015063,MF,West Ham
Jeff Hendrick,0.0012794359999419229,MF,Burnley
Wilfred Ndidi,0.006829435741170006,MF,Leicester
Collin Quaner,0.002987625698822347,MF,Huddersfield
Wayne Rooney,0.00456292212520635,MF,Everton
Theo Walcott,0.002572472453399915,MF,Everton
Mario Lemina,0.005359168181551786,MF,Southampton
Jordon Ibe,0.00343175583418937,MF,Bournemouth
André Ayew,0.0014611579616288322,MF,Swansea
Mohamed Elneny,0.003966416113991093,MF,Arsenal
Manuel Lanzini,0.003136957881040936,MF,West Ham
Oliver Burke,0.000719111191266072,MF,West Brom
Alex Oxlade-Chamberlain,0.007846628371615417,MF,Liverpool
Pedro,0.0007484244061291472,MF,Chelsea
Steven Davis,0.004993158020098574,MF,Southampton
Claudio Yacob,0.0013755145983464882,MF,West Brom
Joshua King,0.000706792978358917,MF,Bournemouth
Jaïro Riedewald,0.0009920157107452176,MF,Crystal Palace
Beni Baningime,0.0006553997782654282,MF,Everton
Josh Sims,0.0007079711722857548,MF,Southampton
Josh Cullen,0.000525070812721887,MF,West Ham
Danny Welbeck,0.0009622842503457414,MF,Arsenal
Marc Pugh,0.002443677782968043,MF,Bournemouth
Marc Albrighton,0.007774391194127583,MF,Leicester
