Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Rodri,Manchester City,8.12,2938,34,0.25,0.7,102.9,1.3,0.8,0.2,0.0,8.0,1.0,0.0,0.2756977535738598,0.2450646698434309,rodri,manchester city,MF,0.0200407136566785
Bukayo Saka,Arsenal,7.97,2933,35,0.49,1.1,33.4,1.1,0.5,0.1,0.0,4.0,0.0,0.0,0.2761677463348108,0.4602795772246846,bukayo saka,arsenal,FW,0.0353763386985217
Phil Foden,Manchester City,7.83,2865,35,0.6,1.5,46.7,0.6,0.4,0.0,0.0,2.0,0.0,1.0,0.2513089005235602,0.3141361256544502,phil foden,manchester city,MF,0.0137418325106356
Phil Foden,Manchester City,7.83,2865,35,0.6,1.5,46.7,0.6,0.4,0.0,0.0,2.0,0.0,1.0,0.2513089005235602,0.3141361256544502,phil foden,manchester city,FW,0.0045321559398215
Bruno Fernandes,Manchester United,7.83,3119,35,0.29,1.2,43.8,1.1,0.8,0.2,0.0,9.0,0.0,0.0,0.2308432189804424,0.6059634498236615,bruno fernandes,manchester united,MF,0.0137351148441773
Bruno Fernandes,Manchester United,7.83,3119,35,0.29,1.2,43.8,1.1,0.8,0.2,0.0,9.0,0.0,0.0,0.2308432189804424,0.6059634498236615,bruno fernandes,manchester united,FW,0.0020157233213134
Cole Palmer,Chelsea,7.78,2624,34,0.75,1.6,37.4,0.4,0.7,0.1,0.0,7.0,0.0,0.0,0.3772865853658537,0.5830792682926829,cole palmer,chelsea,MF,0.0096531433452906
Cole Palmer,Chelsea,7.78,2624,34,0.75,1.6,37.4,0.4,0.7,0.1,0.0,7.0,0.0,0.0,0.3772865853658537,0.5830792682926829,cole palmer,chelsea,FW,0.0051927757997835
Michael Olise,Crystal Palace,7.71,1277,19,0.7,1.5,35.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.4228660924040721,0.6342991386061081,michael olise,crystal palace,MF,0.0020370712509673
Michael Olise,Crystal Palace,7.71,1277,19,0.7,1.5,35.7,0.7,0.8,0.0,0.0,0.0,0.0,0.0,0.4228660924040721,0.6342991386061081,michael olise,crystal palace,FW,0.0101086426147892
Declan Rice,Arsenal,7.66,3230,38,0.2,0.6,56.3,1.4,1.2,0.3,0.0,5.0,0.0,2.0,0.2229102167182662,0.2507739938080495,declan rice,arsenal,MF,0.0163913132487896
Erling Haaland,Manchester City,7.64,2556,31,0.95,2.1,10.4,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.176056338028169,0.2112676056338028,erling haaland,manchester city,FW,0.0221977394453354
Mohamed Salah,Liverpool,7.64,2535,32,0.64,2.0,25.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.3550295857988166,0.7810650887573964,mohamed salah,liverpool,FW,0.0313442448890234
Martin Ødegaard,Arsenal,7.64,3098,35,0.23,0.7,47.9,0.5,0.4,0.0,0.0,2.0,0.0,0.0,0.2905100064557779,0.4938670109748224,martin odegaard,arsenal,MF,0.0189679261109842
Eberechi Eze,Crystal Palace,7.6,2065,27,0.48,1.5,28.9,0.7,0.5,0.1,0.0,3.0,0.0,1.0,0.1743341404358353,0.3050847457627118,eberechi eze,crystal palace,MF,0.0034361916055504
Eberechi Eze,Crystal Palace,7.6,2065,27,0.48,1.5,28.9,0.7,0.5,0.1,0.0,3.0,0.0,1.0,0.1743341404358353,0.3050847457627118,eberechi eze,crystal palace,FW,0.0115558223576569
Bernardo Silva,Manchester City,7.57,2581,33,0.21,0.5,56.9,0.8,0.6,0.1,0.0,8.0,0.0,0.0,0.3138318481208834,0.4533126695079427,bernardo silva,manchester city,MF,0.0148115986924
Bernardo Silva,Manchester City,7.57,2581,33,0.21,0.5,56.9,0.8,0.6,0.1,0.0,8.0,0.0,0.0,0.3138318481208834,0.4533126695079427,bernardo silva,manchester city,FW,0.0052034839063996
